Citation	System	Radiation type/dose	Methylation finding	Expression finding	Evidence strength	DOI_Link	Journal	Year
Effects of Ionizing Radiation on DNA Methylation Patterns and Their Biological Consequences (PMID: 40244232)	Review	Various ionizing radiation contexts	Reviews global and locus-specific methylation changes following ionizing radiation	Summarizes biological consequences including effects on gene expression	Review	https://doi.org/10.3390/ijms26073342	International Journal of Molecular Sciences	2025
Aypar et al., 2024 (PMID: 38303056)	Primary human aortic and coronary artery endothelial cells	Low-dose ionizing radiation; dose/details should be verified from full text	Promoter hypermethylation of PGRMC1, UNC119B, RERE, and FNDC3B	Transcriptional downregulation of the same genes correlated with promoter hypermethylation	Association	https://doi.org/10.1186/s13148-024-01630-0	Clinical Epigenetics	2024
PRMT1-dependent methylation of BRCA1 contributes to the epigenetic response to irradiation (PMID: 32764667)	Cancer cell model	Irradiation; dose/details should be verified from full text	Epigenetic methylation regulation involving BRCA1 in irradiation response (not classical CpG DNA methylation focus)	Supports functional epigenetic regulation of radiation response pathways	Mechanistic support, but not primary CpG DNA methylation evidence	https://doi.org/10.1038/s41598-020-70289-3	Scientific Reports	2020
Miousse et al., 2017 review (PMC: PMC5411327)	Review across experimental and clinical systems	Various ionizing radiation contexts	Summarizes gene-specific and global DNA methylation changes after radiation	Reviews links between radiation-associated methylation changes and altered gene expression and carcinogenesis	Review	https://doi.org/10.1080/09553002.2017.1287454	International Journal of Radiation Biology	2017
Epigenetic DNA methylation in radiation biology: on the field or in the clinic? (PMID: 25186310)	Review	Various ionizing radiation contexts	Reviews radiation-induced DNA methylation reprogramming	Discusses links between methylation changes, gene regulation, and radiation response	Review	https://doi.org/10.1002/jcb.24959	Journal of Cellular Biochemistry	2015
Increased p16 DNA methylation in mouse thymic lymphoma induced by irradiation (PMID: 24747802)	Mouse radiation-induced thymic lymphoma	Irradiation-induced tumor model; dose/details should be verified from full text	Increased p16 promoter methylation	Reduced p16 mRNA and protein expression	Strong association	https://doi.org/10.1371/journal.pone.0093850	PLOS ONE	2014
Antwih et al., 2013 (PMID: 23880508)	Breast cancer cell lines	Therapeutic ionizing radiation; dose/details should be verified from full text	Radiation induced epigenetic DNA methylation changes in genes linked to radiotherapy resistance	Associated changes in expression of genes implicated in radioresistance	Association with mechanistic support	https://doi.org/10.4161/epi.25498	Epigenetics	2013
Differential DNA methylation alterations in radiation-sensitive and -resistant cells (PMID: 22185261)	Radiation-sensitive versus radiation-resistant cellular models	Ionizing radiation exposure; dose/details should be verified from full text	Differential DNA methylation patterns associated with radiation response phenotype	Associated with radiation response biology and likely gene regulation differences; exact genes should be verified from full text	Association	https://doi.org/10.1089/dna.2011.1509	DNA and Cell Biology	2012
Koturbash et al., 2011 (PMID: 21704414)	MCF7 cells regrowing after fractionated irradiation	Fractionated ionizing radiation; summary cites regrowth after 10 Gy FIR	Locus-specific DNA methylation alterations in regrowing cells after irradiation	Suggests association with altered post-irradiation cellular state; gene-level expression details should be verified from full text	Association	https://doi.org/10.1016/j.radonc.2011.05.048	Radiotherapy and Oncology	2011
Radiation-induced lung adenocarcinoma is associated with increased gene promoter methylation (PMID: 17903034)	Radiation-associated human lung adenocarcinoma	Radiation-associated exposure history; exact exposure details should be verified from full text	Increased promoter methylation in radiation-induced lung adenocarcinoma	Supports association with transcriptional silencing of affected genes, though gene-specific expression details should be verified	Association	https://doi.org/10.1667/RR0825.1	Radiation Research	2007
Plutonium targets the p16 gene for inactivation by promoter hypermethylation (PMID: 14742312)	Human radiation-associated lung adenocarcinoma / plutonium-exposed workers	Alpha-particle exposure from plutonium	Promoter hypermethylation of p16 linked to gene inactivation	Loss of p16 expression associated with promoter hypermethylation	Strong association with causal implication for gene silencing	https://doi.org/10.1093/carcin/bgh096	Carcinogenesis	2004
